"あるプログラマーが次のようなプログラムを書いた。このプログラムでは、numListと呼ばれる数値のリストを使っている。プログラムは、リストの中の数値の合計を表示するよう意図されている。
 sum ← numList [1]
 FOR EACH value IN numList
 sum ← sum + value
 DISPLAY sum
 プログラムをテストするために、プログラマーはnumListを[0 , 1 , 4 , 5]に初期化した。プログラムは10を表示し、プログラマはプログラムが意図したとおりに動作すると結論づけた。次のうち正しいものはどれか?",結論は正しい。プログラムは意図したとおりに動作する。,"結論は正しくない。プログラムはテストケース[0, 1, 4, 5]の正しい値を表示しない。","結論は正しくない。テストケース[0, 1, 4, 5]を使うだけでは、プログラムが正しいと結論づけるには不十分。","結論は正しくない。テストケース[0, 1, 4, 5]を使用することは、プログラムが増加する順序のリストに対して動作することを確認するだけ。",C
ある種の植物がさまざまな条件下で生長する様子をシミュレートするために、コンピュータ・シミュレーションが作成された。このシミュレーションで使用されたモデルを検証するために、次のうちどれを使用できるか?,再帰的アルゴリズムと反復的アルゴリズムの両方を用いてシミュレーションソフトウェアを表現する。再帰的アルゴリズムの結果と反復的アルゴリズムの結果を比較する。,異なる環境における植物種の成長について、実際に実験を行う。実験結果とシミュレーションの結果を比較する。,モデルから不必要な詳細を取り除く。元のシミュレーションと簡略化したシミュレーションの実行時間を比較する。,シミュレーションソフトウェアを複数のデバイスで実行する。それぞれのデバイスから得られた結果を比較する。,B
ハフマン符号化は、各値の出現頻度に基づいて入力値に一意の可変長符号を割り当てる。頻繁に発生する値には、発生頻度の低い値よりも少ないビットを含むコードが割り当てられ、より多くのビットを含むコードが割り当てられる。ハフマン符号化の適切な使用方法として最も適切なものは次のうちのどれか?,復号化,効率的なソート,ロスレス圧縮,不可逆圧縮,C
Python 3において、文字列中のすべての文字が大文字であるかどうかをチェックする関数は 次のうちどれか?,isupper(),join(seq),len(string),"ljust(width[, fillchar])",A
"以下のコード片は、正の数 num が奇数である場合に ""odd"" と表示することを意図している。
 IF (<欠落条件>)
 DISPLAY ""odd""

<欠落条件>を置き換えて、このコード片が意図したとおりに動作するようにするには、次のうちどれを使えばよいか?",(num MOD 1) = 0,(num MOD 1) = 1,(num MOD 2 ) = 0,(num MOD 2) = 1,D
あるプログラマーが、クリエイティブ・コモンズ表示（C C B Y）ライセンスのもとオンラインで公開されているコードを商用製品で使用している。次のうち、コードの許容される使用方法として最も適切なものはどれか?,オンラインのソースからプログラマーの製品にコードをコピーし、それ以外の操作を行わない,オンラインのソースからプログラマーの製品にコードをコピーし、コピーしたコードを10行に制限する,オンラインのソースからプログラマーの製品にコードをコピーし、すべての変数名を変更する,オンラインのソースからプログラマーの製品にコードをコピーし、ライセンスで示された方法で元の作成者のクレジットを表示する,D
ある新銀行は、顧客の利便性を最優先し、顧客が列に並ぶ時間を最短にすることを計画している。この銀行では、2つのオプションを検討している。1つは、前にいる顧客が次に空く預払機を待つ1つの列、もう1つは、預払機ごとに別々の列である。銀行は、顧客の平均待ち時間を決定するために、これら2つのオプションのコンピュータシミュレーションを使用することにした。この銀行の計画で正しくないのは次のうちどれか?,銀行は、預払機の数など他の要因をシミュレーションに組み込むことができる。,銀行は、顧客に迷惑をかけることなく、シミュレーションを使ってこれら2つのオプションを調査することができる。,銀行は、シミュレーション結果に基づいて新しい選択肢を検討することができる。,実際の顧客データが入手できないため、シミュレーションは有用な結果をもたらさない。,D
インターネットを介して送信するために、データがパケットにまとめられる一般的な方法を最もよく説明しているのは、次のうちどれか?,各パケットには、送信されるデータと、データのルーティングに使用される情報を含むメタデータが含まれる。,各パケットには、送信されるデータの暗号化されたバージョンと、データを復号化するために必要なキーを含むメタデータが含まれている。,各パケットには、データを送信できるように直接接続を確立するために使用されるメタデータのみが含まれている。,各パケットには、一つにまとめられた複数のデータファイルと、各データファイルをどのように分類するかを記述したメタデータが含まれる。,A
与えられた項目よりも大きな値を配列から検索し、そのインデックスを返すメソッドを書く。問題の仕様には、配列内にそのような値が複数ある場合に何を返すべきかが示されていない。次のアクションのうち、どれが最適か?,メソッドは、配列の中に指定された項目よりも大きな値が1つだけあるという前提で書くべき。,メソッドは、大きな値が出現するたびにそのインデックスを返すように書くべき。,より大きな値のインデックスが1つ以上ある場合にどうすべきかを示すように、仕様を修正すべき。,より大きな値が複数見つかった場合は、メッセージを出力するようにメソッドを書くべき。,C
"Python 3で ""a ""+""ab ""という命令文の出力は次のうちどれか?",エラー,aab,ab,a ab,B
python 3では、次のうちどれが切り捨て除算か?,/,//,%,|,B
次のうち、情報格差に最も良い影響を与えそうな学校の方針はどれか?,ある学校では、生徒が自宅からグラフ電卓を持参して、授業中の数学の課題をこなすことを認めている。,ある学校では、生徒が採点付きの小テストに参加するために、毎日タブレット型パソコンを授業に持参することを許可している。,学校が、その学校に在籍する生徒全員にノートパソコンまたはタブレット型パソコンを支給している。,ある学校は、すべての生徒に、プロジェクトが速く進むように、できるだけ処理速度の速いコンピュータを購入するよう勧めている。,C
"ある国では、車を運転するには16歳以上でなければならず、投票するには18歳以上でなければならない。変数ageは人の年齢を整数で表す。次の式のうち、その人が車を運転できる年齢だが選挙権を持つ年齢ではない場合に真と評価され、そうでない場合に偽と評価されるものはどれか?
 I. (age ? 16) AND (age ? 18)
 II. (age ? 16) AND (NOT(age ? 18))
 III. (age < 18) AND (NOT(age < 16))",II のみ,I と II のみ,I と III のみ,II と III のみ,D
あるオンライン・ストアは、6ビットのバイナリ・シーケンスを使用して、販売する各ユニーク・アイテムを識別している。このストアは販売するアイテムの数を増やす予定で、7ビット・バイナリ・シーケンスの使用を検討している。6ビット・シーケンスの代わりに7ビット・シーケンスを使用した場合の結果について、最も適切なものは次のうちどれか?,2つ以上の品目を一意に識別できる。,10以上の品目を一意に識別できる。,2倍の品目を一意に識別できる。,10倍の品目を一意に識別できる。,C
次のプログラムのうち、ヒューリスティックの使用から最も恩恵を受けそうなものはどれか?,小テストと宿題の点数に基づいて生徒の成績を計算するプログラム,デジタルファイルのフォルダを暗号化するプログラム,地図上の2地点間の最短ドライブルートを見つけるプログラム,数値のリストを最小から最大の順にソートするプログラム,C
"次のコードセグメントを考えよ。int num1 = value1, num2 = value2, num3 = value3; while (num1 > num2 || num1 > num3) { /* body of loop */ } 。     value1、value2、value3はint値であると仮定してよい。 /* body of loop */が実行されないことを保証するのに十分なものは、次のうちどれか?",num1 < num2,num1 < num3,num1 > num2 && num1 > num3,num1 < num2 && num1 < num3,D
"2つのリスト、list1とlist2には、2つの異なるコレクションで見つかった本の名前が含まれている。図書館員は、どちらかのリストにあるすべての本の名前を、アルファベット順に、重複する項目を除いて格納するnewListを作成したいと考えている。

 例えば、1istlが
 [""マクベス"", ""フランケンシュタイン"", ""ジェーン・エア""]
 を含み、1ist2が
 [""フランケンシュタイン"", ""ドラキュラ"", ""マクベス"", ""ハムレット""]
 を含む場合、newListは
 [""ドラキュラ"", ""フランケンシュタイン"", ""ハムレット"", ""ジェーン・エア"", ""マクベス""]

 を含むことになる。 newListを作成するには、以下のプロシージャーが利用できる。
 プロシージャー
 説明
 Sort (list)
 リストをアルファベット順にソートし、結果のリストを返す。
 Combine (listl, list2)
 list1のエントリと
list2のエントリからなる新しいリストを作成する。結果のリストが返される。
 RemoveDuplicates (list)
 リストを繰り返し処理する。2つ以上のエントリが同じ値を持つ場合、重複するエントリは削除され、最大1回はすべてのエントリが表示される。結果のリストが返される。

 次のコード・セグメントのうち、正しく newList を作成できるのはどれか?","newList ← Combine (listl, list2) newList ← Sort (newList) newList ← RemoveDup1icates (newList)","listl ← Sort (listl) list2 ← Sort (list2) newList ← Combine (listl, list2) newList ← RemoveDuplicates (newList)","listl ← RemoveDuplicates (listl) list2 ← RemoveDuplicates (list2) newList ← Combine (listl, 1ist2) newList ← Sort (newList)","listl ← RemoveDuplicates (listl) listl ← Sort (listl) list2 ← RemoveDuplicates (list2) 1ist2 ← Sort (list2) newList ← Combine (listl, list2)",A
Pythonの変数名は大文字と小文字を区別するか?,はい,いいえ,機会に依存する,上記のいずれでもない,A
あるコンピュータ・プログラムは3ビットで整数を表現する。プログラムが10進数（基数10）の5と3を足すと、結果は0になる。この結果をもっともよく説明するのは次のうちどれか?,オーバーフローエラーが発生した。,丸め誤差が発生した。,結果が非可逆データ圧縮の影響を受けた。,結果は浮動小数点表現で近似された。,A
漸近的に最も大きいのはどれか?,O(1),O(n),O(n^2),O(log n),C
"あるプログラマーが、numbersと呼ばれるリストの全要素の平均を表示するために、以下のコード・セグメントを書いた。リストの中には常に少なくとも1つの数字がある。
 行1: count ← 0
 行2: sum ← 0
 行3:FOR EACH value IN numbers
 行4:{
 行5: count ← count + 1
 行6: sum ← sum + value
 行7: average ← sum / count
 行8: }
 行9: DISPLAY (average)

 プログラマーは、プログラム実行時に行われる操作の回数を減らしたい。実行される操作の数を減らした正しいプログラムになる変更はどれか?",1行目と2行目を入れ替える,5行目と6行目を入れ替える,6行目と7行目を入れ替える,7行目と8行目を入れ替える,D
オンライン新聞もソーシャルメディアサイトも、インターネット上で情報を配信するために使われている。オンライン新聞がソーシャルメディアサイトよりも優れている点を最もよく表すのは次のうちどれか?,瞬時に情報を配信できること,配信される情報に信憑性を持たせることができること,広くアクセス可能な情報を提供できること,低コストでメディアリッチなコンテンツを提供できること,B
大規模なJavaプログラムを徹底的にテストしたが、エラーは見つからなかった。何が結論付けられるか?,プログラムの前提条件はすべて正しい。,プログラムの後条件はすべて正しい。,プログラムにはバグがあるかもしれない。,プログラム中のすべてのメソッドは、他のプログラムで安全に使用できる。,C
このパイソン式: 1 + 3 % 3の値は何か?,0,1,3,4,B
学校に入学する各生徒には一意のID番号が割り当てられ、2進数として保存される。ID番号は、新しく入学する生徒ごとに順次1ずつ増えていく。最後に入学した生徒に割り当てられたID番号が2進数の1001 0011であった場合、次に入学する生徒にはどのような2進数が割り当てられるか?,1001 0100,1001 0111,1101 0100,1101 0111,A
Python 3において、オペランドに対して指数（べき乗）計算を行う演算子は次のうちどれか?,**,//,is,not in,A
次のうち、10進数231_{10}を16進数で表したものはどれか?,17_{16},E4_{16},E7_{16},F4_{16},C
次の表計算関数のうち、データ入力エラーの結果としてデータセットに含まれるようになった、あり得ないほど高い値や低い値を検出するために最も有用なものはどれか?,列または行の数値を平均する関数,列または行の値を数える関数,数値を丸める関数,列または行の値をソートする関数,D
あるコンピューターゲームは、人間のプレーヤーとコンピューター制御のプレーヤーの間で行われる。コンピュータが操作するプレイヤーに手番が回ってくるたびに、コンピュータがすべての可能性のある手を評価し、最良の手を選択するため、ゲームの進行は遅い。このゲームの実行速度を改善する可能性を最もよく表しているのは次のうちどれか?,ゲームの進行速度は、コンピュータ制御のプレイヤーとではなく、二人の人間のプレイヤーの間でプレイする場合にのみ改善できる。,ゲームの実行速度は、コンピュータが操作するプレイヤーの手番が回ってくるたびに近似解を求めるプロセスを使用することによって改善されるかもしれない。,コンピュータは可能な限り最良の解を見つけるようにしかプログラムできないので、ゲームの実行速度を改善することはできない。,このゲームは妥当な時間で実行されないアルゴリズムの例であるため、ゲームの実行速度は改善できない。,B
"Python 3で、list = [ 'abcd', 786 , 2.23, 'john', 70.2 ]の場合、print list[1:3]の出力は?","[ 'abcd', 786 , 2.23, 'john', 70.2 ]",abcd,"[786, 2.23]",上記のどれでもない,C
"以下のコード・セグメントを考えよ。
 行1: IF (a = 0)
 行2: {
 行3:  b ← a + 10
 行4: }
 行5: ELSE
 行6: {
 行7: b ← a + 2O
 行8:}
 次の変更のうち、コードセグメントが実行されたときの結果に影響を与えないものはどれか?",3 行目を b ← 10 に変更する,3 行目を a ← b + 10 に変更する,7 行目を b ← 20 に変更する,7 行目を a ← b + 10 に変更する,A
120個の整数からなるソートされたリストを検索して、値100がリスト内にあるかどうかを決定する。最も効率的な検索アルゴリズムが使用されると仮定した場合、調べなければならない要素の最大数は何個か?,7,8,20,100,A
Pythonについて正しいのは次のうちどれか?,自動ごみ収集をサポートしている,C、C++、COM、ActiveX、CORBA、Javaと簡単に統合できる,上記の両方,上記のどれでもない,C
x = 8とする。Python 3におけるx>>1は?,3,4,2,8,B
ピクセルの色はRGB（赤、緑、青）カラーモデルを使って表現することができ、赤、緑、青の値をそれぞれ0から255の範囲で格納する。RGBモデルで色を表現するには、何ビット（2進数）が必要か?,8,16,24,32,C
ブール演算式 a[i] == max || !(max != a[i]) は次のうちどのように簡略化できるか?,a[i] == max,a[i] != max,a[i] < max || a[i] > max,FALSE,A
あるプログラマが、ソートされたリストの中から目的の値を見つけるのに、線形探索を使うか二分探索を使うかを決めている。次のうち正しいものはどれか?,どのような場合でも、ソートされたリストの二分探索は線形探索よりも少ない比較回数で済む。,一般に、線形探索よりも二分探索を使用する利点は、リストのサイズが大きくなるほど大きくなる。,一般に、線形探索の方が二分探索よりも高速に実行される。なぜなら、線形探索は実装に必要なコード行数が少ないから。,ターゲットがリスト内で見つからない可能性がある場合は、二分探索よりも線形探索を使用する方が望ましい。,B
最も成長が遅いタイプの関数はどれか?,O(log e^N),O(log N),O(log log N),O(N),C
生徒がパソコンで歌を録音している。録音が終わると、そのコピーをコンピュータに保存する。生徒は、保存されたコピーが元の録音より音質が低いことに気づいた。音質の違いを説明できる可能性があるのは、次のうちどれか?,元の曲より1秒あたりのビット数が少なく保存されている。,元の曲よりも1秒あたりのビット数が多い状態で保存された。,ロスレス圧縮技術を使って保存された。,コンピュータ上のある場所から別の場所にファイルを保存するたびに、何らかの情報が失われる。,A
Python 3で、リストから最大値の項目を返す関数は次のうちどれか?,cmp(list),len(list),max(list),min(list),C
漸近的に最も小さいのはどれか?,O(1),O(n),O(n^2),O(log n),A
次のうち、フィッシング攻撃の可能性が最も低いものはどれか?,銀行からの電子メールで、取引を確認するためにカードに記載されている電話番号に電話するよう求められる,商店からの電子メールで、パスワードをリセットするためリンクをクリックするよう求められる,公共料金の会社からの電子メールで、確認のために生年月日と社会保障番号を入力するよう求められる,大金が当選したことを示す電子メールで、お金を送金するために銀行口座番号を入力するよう求められる,A
"以下のアルゴリズムは、コインを4回ひっくり返した結果をシミュレートするために使用される。シミュレーションの結果、表と裏が同数になったかどうかを判定することを測定の目的とする。

   ステップ l : 変数 heads_counter と f1ip_counter を 0 に初期化する。
   ステップ 2 : 変数 coin_f1ip に 0 か l のどちらかの値をランダムに代入する。
   ステップ 3 : f1ip_counterの値をlずつ増分する。
   ステップ 4 : f1ip_counterが4になるまでステップ2と3を繰り返す。

 アルゴリズムの実行後、シミュレーションの結果、表と裏の数が等しかったことを示す式は次のうちどれか?",coin_f1ip = 1,flip_counter = 1,flip_counter = 2,heads_counter = 2,D
誰かが盗んだログイン名とパスワードを使ってシステムにログインした場合、サイバーセキュリティのどの柱が損なわれるか?,認証,機密性,完全性,否認防止,A
"以下のプロシージャは、リストmyListに値valが現れる回数を返すことを意図している。このプロシージャは意図したようには動作しない。
 1行目: PROCEDURE countNumOccurences(myList, val)
 2行目: {
 3行目: FOR EACH item IN myList
 4行目: {
 5行目: count 0
 6行目：IF(item = val)
 7行目: {
 8行目: count count + 1
 9行目: }
 10行目: }
 11行目: RETURN(count)
 12行目:｝
 このプロシージャを意図したとおりに動作させるには、次のうちどれを変更すればよいか?",6行目をIF(item = count)に変更する,6行目をIF(myList[item] = val)に変更する,5行目のステートメントを2行目と3行目の間に表示されるように移動する,11行目のステートメントを9行目と10行目の間に表示されるように移動する,C
プログラム・ドキュメントに関する記述として正しいものは次のうちどれか?,プログラム・ドキュメントは、最初に書いた後は変更すべきではない。,プログラム・ドキュメントが必要なのは開発中のプログラムだけで、プログラ ムが完成した後には必要ない。,プログラム・ドキュメントは、プログラマーが共同で作業する場合には有用であるが、プログラマーがプロジェクトにおいて個人で作業する場合には必要ない。,プログラム・ドキュメントは、最初のプログラム開発時に有用であり、既存のプログラムに修正を加える場合にも有用。,D
ディクショナリ/マップ、キュー、スタックという3つのデータ構造を使ってモデル化できる、以下の3つのシナリオを考えよ。シナリオ 1: 洗車場の単一車線に車が並んでいる。各ドライバーが洗車場の入り口に着くと、ドライバーは車から降りる。自動滑車が洗車機の中を車を移動させ、ドライバーは洗車機の出口まで歩き、支払いを済ませて車を受け取る。シナリオ2: リアリティ新人発掘テレビ番組のオーディションを受ける出場者には、登録用紙に記入する際に固有の数字IDが割り当てられる。シナリオ3: テニスボールは、最大3個のボールを入れることができる円筒形の缶に入って売られており、一番下のボールを除く各ボールは、その下のボールの上に置かれている。3つのボールは、缶の上部にある1つの開口部から1つずつ缶に入れられる。3つのボールは、同じ開口部から1つずつ缶から取り出される．次のうち、シナリオを最もよくモデル化するデータ構造はどれか?シナリオ1 | シナリオ2 | シナリオ3,ディクショナリ/マップ | キュー | スタック,ディクショナリ/マップ | スタック | キュー,キュー | ディクショナリ/マップ | スタック,スタック | キュー | ディクショナリ/マップ,C
"l = [1,2,3,4]とする。Python3におけるmin(l)とは?",1,2,3,4,A
"l = [1,2,3,4]とする。Python3 の max(l) は何か?",1,2,3,4,D
インターネットにおけるルーティングのフォールトトレラントな性質の特徴は次のうちどれか?,ネーミングの衝突を避けるために階層的なネーミングシステムを使用する能力,いくつかの接続に障害が発生した場合でも、データ転送を提供する能力,ドメインネームシステム（DNS）ルックアップのエラーを解決する能力,データ転送にハイパーテキスト転送プロトコル（HTTP）、インターネットプロトコル（LP）、簡易メール転送プロトコル（SMTP）などの複数のプロトコルを使用する能力,B
"次の数字を考えよ。
   ° 2進数 1100
   ° 10進数 11
   ° 16進数 D
 数字を小さいものから大きいものの順に並べたものは次のうちどれか?",2進数1100、10進数11、16進数D,10進数11、2進数1100、16進数D,10進数11、16進数D、2進数1100,16進数D、10進数11、2進数1100,B
実行可能ソフトウェアの開発プロセスにおけるコンパイラの役割は?,開発プロセスの一環として作成された仕様ファイルを管理する,プログラマーが作成した実行ファイルを実行し、テストする,エラーが発見され、ソフトウェアを以前の形に戻す必要がある場合に備えて、ソフトウェアの古いバージョンを追跡する,抽象的な高級言語で書かれたプログラムを、マシンコードで表現された同じ動作を持つプログラムに変換する,D
次のうち、アップグレードしたシステムで最も懸念されるデータプライバシーの問題はどれか?,許可されていない個人が通話セッションデータベースにアクセスした場合、顧客の個人情報が漏洩する可能性がある。,通話セッションデータベースに情報を保存すると、個人が悪意のあるリンクを使用してシステムを騙すことが容易になる。,このシステム設計では、顧客が無意識のうちにマルウェアをデバイスにインストールし、不正な個人とデータを共有する可能性が高くなる。,このシステム設計では、権限のない個人が顧客の秘密暗号鍵を簡単に取得できる。,A
"Python 3における ""abc""[-1]の出力は?",エラー,a,b,c,D
"あるアルゴリズムを使って、1つ以上の整数からなるリストの最大値を特定する。以下の2つのバージョンのアルゴリズムを考えよ。

 アルゴリズムI: 変数maxの値を-1に設定する。整数値のリストを繰り返し処理する。
データ値が変数maxの値より大きい場合、
maxをデータ値に設定する。
 アルゴリズムII: 数maxの値を最初のデータ値に設定する。
整数リストの残りの値を繰り返し処理する。
あるデータ値が変数 max の値より大きい場合、max をそのデータ値に設定する。

 次の記述のうち、2つのアルゴリズムの動作を最もよく表しているのはどれか?",どちらのアルゴリズムも、すべての入力値に対して正しく動作する。,アルゴリズム I は常に正しく動作するが、アルゴリズム II は最大値がリストの最初の値でないときのみ正しく動作する。,アルゴリズムIIは常に正しく動作するが、アルゴリズムIは最大値が-l以上のときのみ正しく動作する。,どちらのアルゴリズムも、入力に正負両方の入力値が含まれる場合、最大値を正しく識別しない。,D
"同じクラス内の次のインスタンス変数とメソッドを考えよ。
 private int[][]matrix;
 /**前提条件: array.length > 0
 * @配列内の最大整数を返す
 */
 private int max(int[]array)
 { /* 実装が表示されていない */ }
 /** @num1 >= num2の場合num1を返す。それ以外の場合はnum2を返す
 */
 public int max(int num1, int num2)
 { /* 実装が表示されていない */ }
 matrixの現在値が
 2 1 4 8
 6 0 3 9
 5 7 7 6
 1 2 3 4
であるとする。同じクラス内の次のメソッド呼び出しによって何が返されるか?
 max(max(matrix[2]), max(matrix[3]))",9,8,7,4,C
パイソン式4 + 3 % 2の値は何か?,1,6,4,5,D
"エアメールエクスプレスは、重量の整数値で小さな荷物を配送するための料金を請求する。ポンド単位の重量wの料金は次のとおりである:
 0 < w ? 2 $4.00
 2< w ? 5 $8.00
 5 < w ? 20 $15.00
同社は、重量が20ポンドを超える荷物を受け入れない。次のうち、配送費を計算するプログラムをテストするのに最適なデータ(重量)のセットを表すのはどれか?",0、2、5、20,1、4、16,-1、1、2、3、5、16、20,-1、0、1、2、3、5、16、20、22,D
あるプログラマーが、図書館にあるすべての本のカタログを作るプログラムを設計している。彼は、getAuthor、getTitle、getShelfInfo、setShelfInfoのような操作で、各書籍の特徴（著者、タイトル、isOnShelfなど）を格納するBookクラスを計画している。もうひとつのクラスLibraryListは、Bookオブジェクトの配列を格納する。LibraryListクラスには、listAllBooks、addBook、removeBook、searchForBookなどの操作が含まれる。プログラマーは、LibraryListクラスを実装する前に、まずBookクラスを実装してテストする予定である。Bookクラスを先に書くというプログラマーの計画は、次のうちどの例か?,トップダウン開発,ボトムアップ開発,手続き抽象,情報隠蔽,B
"l = [1,2,3,4]とする。Python3 の sum(l) は何か?",4,1,10,8,C
あるWebサイトは、権限のない個人がユーザーアカウントにアクセスするのを防ぐために、いくつかの戦略を使用している。次のうち、多要素認証の例でないものはどれか?,ある会社の各従業員には、固有のトークンコードを含むUSBデバイスが発行される。会社のコンピュータにログインするには、従業員はUSBデバイスをコンピュータに挿入し、正しいパスワードを入力する必要がある。,新しいデバイスからアカウントにログインした後、ユーザーは、アカウントに登録されている電子メールアドレスに電子メールで送信されるコードを入力しなければならない。,アカウントにログインするために、ユーザーはパスワードと、ユーザーのデバイスを使用して取得された指紋の両方を提供する必要がある。,ユーザーが連続して2回より多く誤ったパスワードを入力した場合、そのユーザーは24時間アカウントからロックアウトされる。,D
"以下のプロシージャは、特定の名前（targetName）が見つかった一意の名前リスト（nameList）のインデックスを表示するためのものである。targetNameがnameListに見つからなかった場合、コードは0を表示する必要がある。
 PROCEDURE FindName (nameList, targetName)
 {
 index ← 0
  FOR EACH name IN nameList
  {
   index ← index + 1
   IF (name = targetName)
   {
   foundIndex ← index
   }
   ELSE
   {
   foundIndex ← 0
   }
  }
  DISPLAY (foundIndex)
 }
 次のプロシージャ呼び出しのうち、プロシージャが意図したとおりに動作しないことを示すために使用できるものはどれか?","FindName ([""Andrea"", ""Ben""], ""Ben"" )","FindName ([""Andrea"", ""Ben"" ], ""Diane"" )","FindName ([""Andrea"", ""Ben"", ""Chris""], ""Ben"")","FindName ([""アンドレア"", ""クリス"", ""ダイアン""], ""ベン"")",C
"この質問は、次の宣言に基づいている:文字列strA=""CARRot""、strB=""Carrot""、strC=""car""; アルファベット順を考えるとき、すべての大文字がすべての小文字の前に来るとすると、正しいのは次のうちどれか?",strA.compareTo(strB) < 0 && strB.compareTo(strC) > 0,strC.compareTo(strB)<0&&strB.compareTo(strA)<0,strB.compareTo(strC) < 0 && strB.compareTo(strA) > 0,!(strA.compareTo(strB) == 0) &&strB.compareTo(strA) < 0,C
