"S_5 において p = (1, 2, 5, 4)(2, 3) とする。S_5における<p>の指数を求めよ。",8,2,24,120,C
文1 | 整数エントリと非ゼロ行列式を持つ2×2行列の集合は、行列の乗算のもとでは群。文2 | 整数エントリと行列式1を持つ2 x 2行列の集合は、行列の乗算の下で群。,"真, 真","偽, 偽","真, 偽","偽, 真",D
文1 | すべての可換環のすべての商環は、再び可換環。文2 | 単位元1を持つ環RのイデアルNは、Nの中に1がある場合に限り、Rのすべて。,"真, 真","偽, 偽","真, 偽","偽, 真",C
"A=(1, 2, 3, 4)とする。～=(1, 2), (1, 3), (4, 2)}とする。とすると、～は?",反対称でない,推移的,反射的,対称,B
ZからZ_2への準同型写像はいくつあるか?,1,2,無限に多い,0,B
文1 | すべての体は環でもある。文2 | すべての環は乗法の単位元を持つ。,"真, 真","偽, 偽","真, 偽","偽, 真",C
"文1 | Rが環であり、f(x)とg(x)がR[x]にあるとき、deg (f(x)+g(x)) = maximum (deg f(x), deg g(x))。文2 | Fが体の場合、F[x]のすべてのイデアルは主。","真, 真","偽, 偽","真, 偽","偽, 真",D
"群(G, *)の部分群Hは、次のどの場合に群になるか?","H中のa, b=> H中のa * b",H中のa => H中のa^-1,"H中のa, b=> H中のa * b^-1",Hが単位元を含む,C
多項式x^4 + 4はZ_5[x]の線形因数に因数分解できる。この因数分解を求めよ。,(x - 2)(x + 2)(x - 1)(x + 1),(x+1)^4,(x-1)(x+1)^3,(x-1)^3(x+1),A
文1 | あらゆる正の整数の階数の自由アーベル群が存在する。文2 | 有限生成されたアーベル群は、そのベッチ数がある生成集合の要素数に等しい場合、自由アーベル群。,"真, 真","偽, 偽","真, 偽","偽, 真",A
"(Z, *)は、Z内のすべてのa、bに対してa*b=a+b+1を持つ群である。aの逆数は次のどのようになるか?",0,-2,a-2,(2+a)*-1,D
与えられた体の拡大Q(sqrt(2)*sqrt(3))のQに対する次数を求めよ。,0,4,2,6,C
フェルマーの定理を用いて、3^47を23で割ったときの余りを求めよ。,1,2,3,4,D
環 Z_3 x Z_3 の特性を求めよ。,0,3,12,30,B
文1 | aとbがある群の要素で、aがbと等しくないとき、a^2はb^2と等しくない。文2 | 二面体群の回転の集合は巡回部分群を形成する。,"真, 真","偽, 偽","真, 偽","偽, 真",D
文1 | 群において(ab)^{-2} = b^{-2}a^{-2}。文2 | 群において(ab)^n = a^nb^n。,"真, 真","偽, 偽","真, 偽","偽, 真",B
"文1 | S_nはすべてのn >= 3に対して非アーベル。 文2 | aがmサイクルである順列であり、bがnサイクルである順列であるとき、|ab| = lcm(m, n)。","真, 真","偽, 偽","真, 偽","偽, 真",C
環Z x Zの特徴を求めよ。,0,3,12,30,A
"文1 | n > 1のとき、集合{1,2, ..., n-1}はnを法とする乗算のもとでは群。 文2 | 63x mod 100 = 1となるような整数xがある。","真, 真","偽, 偽","真, 偽","偽, 真",D
文1 | もしKが有限生成自由アーベル群の非ゼロ部分群であれば、Kは自由アーベル。文2 | もしKが有限生成自由アーベル群の非ゼロ部分群であれば、G / Kは自由アーベル。,"真, 真","偽, 偽","真, 偽","偽, 真",C
文1 | 巡回群の外部直積は巡回。文2 | D_3とD_4の外部直積はD_12と同型。,"真, 真","偽, 偽","真, 偽","偽, 真",B
文1 | すべての非ゼロ自由アーベル群は無限の基底を持つ。文2 | 少なくとも階数2の自由アーベル群はすべて無限の基底を持つ。,"真, 真","偽, 偽","真, 偽","偽, 真",D
文1 | すべての正の整数nに対して、次数nの巡回群が存在する。 文2 | すべての有限巡回群は、その群の次数を分割するすべての次数の要素を含む。,"真, 真","偽, 偽","真, 偽","偽, 真",A
文1 | ある群が次数10の要素を持つ場合、その群は次数1、2、5の要素を持つ。文2 | もしある群が次数2の要素と次数3の要素を持つなら、それは次数6の要素を持つ。,"真, 真","偽, 偽","真, 偽","偽, 真",C
AとBを集合とし、f: A->Bとg: B->Aを、Aのすべてのa\に対してg(f(a))=aとなるような関数とする。文1 | 関数gは、必ず単射でなければならない。 文2 | 関数gは全射でなければならない。,"真, 真","偽, 偽","真, 偽","偽, 真",D
文1 | カーネルが単位元だけで構成される場合に限り、準同型写像は1対1。文2 | ある準同型写像のもとで6つの要素を持つ群の像は4つの要素を持つことがある。,"真, 真","偽, 偽","真, 偽","偽, 真",C
文1 | HとKが群Gの部分群であるとき、|HK| = |H||K|/|H交点K|。文2 | pが奇数素数である次数2pの群は、D_pに巡回または同型。,"真, 真","偽, 偽","真, 偽","偽, 真",A
"Tについて：T(1, 0) = 3、T(0, 1) = -5であるZ x Z -> Zについて、T(-3,2)を求めよ。",-19,-10,19,10,A
与えられた環における積を計算せよ。 Z_24で(12)(16),0,1,4,6,A
文1 | すべての順列は1対1の関数。文2 | すべての関数は1対1である場合に限り、順列。,"真, 真","偽, 偽","真, 偽","偽, 真",C
文1 | 有限群が次数nを持つ場合、その群はnのすべての正除数dに対して次数dの部分群を含む。 文2 | aが有限群に属する場合、|a|は|G|を分割する。,"真, 真","偽, 偽","真, 偽","偽, 真",D
2Zの部分群4Zのすべての剰余類を求めよ。,4z,"4z, 2 + 4z",2z,z,B
次の記述のうち正しいものはどれか?,すべての同値関係は半順序関係。,"A={x, y, z}からB=(1, 2)までの関係の数は64。",空の関係 _ は反射的。,対称的な関係と非対称的な関係の性質は互いに否定的。,B
 n = 6 のとき、S_n の要素の可能な最大次数を求めよ。,6,12,30,105,A
文1 | QはZ_2の拡大体。文2 | ある体上のすべての非定数多項式は、ある拡大体においてゼロを持つ。,"真, 真","偽, 偽","真, 偽","偽, 真",D
文1 | HがGの部分群であり、aがGに属する場合、aがHにある場合にのみ、aHはGの部分群。文2 | HがGの部分群であり、aとbがGに属する場合、abがHにある場合にのみ、aH=bHとなる。,"真, 真","偽, 偽","真, 偽","偽, 真",C
与えられた多項式の指定された有限体のすべてのゼロを、その体の係数とともに求めよ。 Z_2のx^2+1,0,1,"0,1",2,B
25によって生成されるZ_30の巡回部分群の要素数を求めよ。,25,5,6,30,C
"Z_12 x Z_8の要素(4, 2)の次数は?",4,8,12,6,C
文1 | 環のすべてのイデアルは環の部分環。文2 | すべての環のすべての部分環は環のイデアル。,"真, 真","偽, 偽","真, 偽","偽, 真",C
